linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
17,Abdul,1/5 Stars,07-09-18,very bad,Faisalabad
18,Umme,5/5 Stars,08-09-21,Awesome 👍,Faisalabad
18,Sania,4/5 Stars,05-09-21,Chai wasn't  good otherwise nashta was tasty.,Faisalabad
18,Tabassum,5/5 Stars,04-09-21,Highly recommended,Faisalabad
18,Mubarra,5/5 Stars,04-09-21,paratha was crispy.. delicious nashta,Faisalabad
18,Zulquida,5/5 Stars,03-09-21,Biryani was yum but very less quantity,Faisalabad
18,Khizar,1/5 Stars,31-08-21,Too bad,Faisalabad
18,Umar,1/5 Stars,30-08-21,The haleem was so less i had to use an electron microscope to be able to see it. The said that they will send naans but instead they sent rocks with the haleem.,Faisalabad
18,Zubair,3/5 Stars,27-08-21,Channy bohat thory thy auur porian boht oily theeen,Faisalabad
18,Rana,1/5 Stars,27-08-21,Mangwaya kch aur Aya kch,Faisalabad
18,Salman,5/5 Stars,14-08-21,This is the best in town. Hafeez puri and others are very poor in the quality of food.,Faisalabad
18,Muhammad,3/5 Stars,14-08-21,"Quantity of haleem and halwa was less than a market other shops
Overall quality was good",Faisalabad
18,Zafar,3/5 Stars,13-08-21,Sookhay hue naan,Faisalabad
18,yasirshah,5/5 Stars,13-08-21,good,Faisalabad
18,zeeshan,2/5 Stars,10-08-21,Not satisfied,Faisalabad
18,Laiba,3/5 Stars,07-08-21,Average food,Faisalabad
18,Furkan,1/5 Stars,07-08-21,its not good,Faisalabad
18,Mohammad,1/5 Stars,06-08-21,Very bad,Faisalabad
18,Abeer,5/5 Stars,04-08-21,I ordered haleem deal ... It was good and deliver on time,Faisalabad
18,Talha,3/5 Stars,28-07-21,Not good,Faisalabad
18,Zafi,5/5 Stars,19-07-21,Good quality... 👍👍👍👍,Faisalabad
18,Jahanzeb,1/5 Stars,19-07-21,"Taste is OK  but quantity too low 
Jb bhi voucher add kr ke koi cheez order kro tu km hi milti hai",Faisalabad
18,Eman,4/5 Stars,16-07-21,It was really good 😊,Faisalabad
18,Ahad,3/5 Stars,10-07-21,Food was ok. But roghni Naan was not up to the mark,Faisalabad
18,Nazish,5/5 Stars,08-07-21,Good,Faisalabad
18,Ravia,3/5 Stars,08-07-21,Just 5 slice of fries and half drink 7up but burger taste was good,Faisalabad
18,mudasar,1/5 Stars,05-07-21,"Haleem was spoiled/kharab and salad was missing.
Would not recommend this restaurant",Faisalabad
18,Abdullah,5/5 Stars,03-07-21,Biryani was good 👍,Faisalabad
18,Milli,4/5 Stars,29-06-21,Good,Faisalabad
18,Mubarra,5/5 Stars,27-06-21,taste was good as compared to other nashta points in foodpanda.. recommend and will buy again,Faisalabad
18,Daim,1/5 Stars,25-06-21,1 naan missing,Faisalabad
18,meerab,1/5 Stars,23-06-21,Unfresh meal,Faisalabad
18,Ahmed,5/5 Stars,20-06-21,everage,Faisalabad
18,Eman,2/5 Stars,20-06-21,It was not good not bad,Faisalabad
18,Saad,3/5 Stars,13-06-21,"Food Was Ok But the boiled egg was not cut into atleast half and the main thing, their was no such thing as Oil in the Channa I mean Shorba ws not their",Faisalabad
23,Asher,1/5 Stars,07-07-21,It was not a good experience bcos bread was burn some flour was also under the bread.they should improve their quality level.thanks,Faisalabad
24,Naureen,5/5 Stars,02-03-21,Yummy,Faisalabad
24,Haider,5/5 Stars,16-12-20,Acha tha taste,Faisalabad
24,Aqash,5/5 Stars,13-12-20,Ok thi biryani,Faisalabad
24,Omar,1/5 Stars,20-11-20,Barayani taste is very bad. Pls change the recipe of barayani,Faisalabad
25,Talha,5/5 Stars,08-04-21,Burger phly sy chota kr dia h but taste was awesome,Faisalabad
25,Talha,5/5 Stars,04-04-21,"Taste was awesome,must try!",Faisalabad
25,Black,1/5 Stars,29-03-21,Bkwaas,Faisalabad
25,Aliya,5/5 Stars,26-03-21,Zinger Shawarma is so good and amount of zinger was just amazing😍,Faisalabad
25,Iqra,5/5 Stars,22-03-21,"Best zinger burger deal
Best quality food
Everyone should must order 🌟",Faisalabad
25,Hassan,5/5 Stars,20-03-21,🍔 yummy 😋,Faisalabad
25,Anu,5/5 Stars,17-03-21,This restaurant always brings delicious and satisfying food. Recommended,Faisalabad
25,Fahad,4/5 Stars,11-03-21,Wings coating should be improved. Doner kebab was amazing,Faisalabad
25,Hassan,5/5 Stars,03-03-21,Delicious 😋,Faisalabad
25,Maria,2/5 Stars,24-02-21,The shawarma was just OK and taste was so bland and there was too much lettuce in it.,Faisalabad
25,Nauman,5/5 Stars,05-02-21,Loved it,Faisalabad
25,Sanam,4/5 Stars,01-02-21,Good food,Faisalabad
25,MuhammadSaad,5/5 Stars,31-12-20,Out standing special pizza,Faisalabad
25,Farrukh,4/5 Stars,29-12-20,Quality was superb. But the food was cold,Faisalabad
25,Ali,1/5 Stars,01-12-20,Fraud they cut one donner Kabab in two pieces to make them two,Faisalabad
25,Hassan,5/5 Stars,28-11-20,Today I'm really happy when I get my order just in 15 minutes,Faisalabad
25,Salman,3/5 Stars,28-11-20,Shawarma bread was not properly cooked,Faisalabad
25,Tahir,2/5 Stars,23-11-20,Fries quality and quantity very poor. Burger 🍔 not upto mark and not tasty. Bad experience,Faisalabad
25,Baqar,1/5 Stars,07-09-20,Dont know how to make puzza.. totaly unprofessional food. Bakwas taste,Faisalabad
25,Naveel,5/5 Stars,04-09-20,Delicious food. Recommended,Faisalabad
25,Mujtaba,1/5 Stars,31-08-20,Worst experience,Faisalabad
27,Sarah,5/5 Stars,06-09-21,Items were missing. Got the refund but this shouldn’t have happened in the first place,Faisalabad
27,Riffat,2/5 Stars,02-09-21,"Pizza topping was poor and fillet of burger was also splited, not compact or crispy, broken in pces.",Faisalabad
27,MuhammadAwais,3/5 Stars,28-08-21,Too. Much spicy,Faisalabad
27,Khizer,3/5 Stars,11-08-21,bas theek tha itni achi nahi thi taste mai or chips zada thi chicken nahi tha itna,Faisalabad
27,Abdullah,4/5 Stars,09-08-21,GOOD,Faisalabad
27,Muhammad,3/5 Stars,07-08-21,One burger was the simple one,Faisalabad
27,MAZHER,3/5 Stars,12-07-21,Hopeless taste,Faisalabad
27,Sarah,5/5 Stars,14-06-21,Both burgers were same even thought one was supposed to Salsa,Faisalabad
27,Muzamil,1/5 Stars,13-06-21,Very bad experience. I was not expecting such a little quantity after paying sufficient amount for food.,Faisalabad
27,faryal,1/5 Stars,04-06-21,Burger was🤮,Faisalabad
27,Fawad,3/5 Stars,31-05-21,"There was no special sauce, it was only common BBQ sauce.",Faisalabad
27,Kaleem,2/5 Stars,04-04-21,Great,Faisalabad
27,John,1/5 Stars,10-02-21,Tasteless,Faisalabad
27,saud,5/5 Stars,08-02-21,bhot mazy k ty thnkusomuch,Faisalabad
27,shahzaib,5/5 Stars,27-01-21,Very good taste.delicious pizza,Faisalabad
