linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
30,Zia,1/5 Stars,28-12-20,the order was pathetic ...my rolls paratha was cold ...and I ordered one chicken & beef Mayo roll but they gave both chicken ...shame on them ... totally waste of money ....,Karachi
30,Yousuf,1/5 Stars,26-12-20,FOOD WAS COOLED,Karachi
31,ammarah,4/5 Stars,12-09-21,I ordered roll.. they were Just ok..,Karachi
31,Nadeem,1/5 Stars,16-07-21,Mjhy mera meal hi nhu Mila fraud hua mere sth,Karachi
31,Abdul,5/5 Stars,02-07-21,Tasty and fresh food 😋,Karachi
31,DanishHussain,3/5 Stars,27-05-21,Quantity & quality  should not compromised,Karachi
31,Naveed,1/5 Stars,23-05-21,Ghatiyan tareen khana,Karachi
31,Fazila,1/5 Stars,17-05-21,delayed,Karachi
32,Khan,1/5 Stars,24-02-21,Bilkul bakar mircho sa bhare hoi khai bhe ni gai ainda order ni karon ga,Karachi
32,Maham,4/5 Stars,05-02-21,Less quantity as per price,Karachi
32,Naqi,5/5 Stars,03-02-21,Awesome deal,Karachi
32,Zeba,1/5 Stars,29-01-21,گھٹیا ترین رولز کوئی بھی زایقہ نہیں ایک بوٹی... ڈیلز کے نام پر دھوکہ حد ہے,Karachi
33,Anusha,5/5 Stars,11-09-21,It was really goood!,Karachi
33,Ahmer,4/5 Stars,08-09-21,"It was good.. fries was pretty good..  
Don't know if the chef is seeing this or not but I think if you will add a lil more sauce and ketchup in it.. it'd be perfect..",Karachi
33,حمزہ,2/5 Stars,06-09-21,Quantity was good taste was average but itny main acha h,Karachi
33,MAsif,5/5 Stars,05-09-21,ما شاء الله,Karachi
33,Areesha,1/5 Stars,05-09-21,"Pehlay mangwaya tha tou acha tha ab zinger mai chicken bhtt baasi thi aur chicken kam srf coating hi thi aur mayo wagera bhi nahe tha zyada and please ketchup k sachet bhi daal diya karen yaar 
just this time fries was good otherwise very dissapointed",Karachi
33,Anas,5/5 Stars,03-09-21,The burger was so delicious 😋,Karachi
