linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
14,Umair,2/5 Stars,08-01-21,Biryani? More like yellow boiled rice. :(,Islamabad
14,Ahmad,2/5 Stars,30-12-20,"The pulao kabab was almost expired, seemed like it's been cooked 5 days ago with weird smell. The special fried rice was okay.",Islamabad
14,Qurat,5/5 Stars,21-12-20,Very tasty,Islamabad
14,Natasha,1/5 Stars,23-11-20,Too much spicy biryani it was,Islamabad
14,Sabheen,1/5 Stars,23-11-20,Sir the order was incomplete. I tried to report yesterday but rider came back to tell us that that the hotel never gave him cold drink. A cold drink was missing for which I paid 100 rupees,Islamabad
14,saba,5/5 Stars,21-11-20,Just like home food,Islamabad
14,Shawaiz,5/5 Stars,21-11-20,Great service,Islamabad
15,sana,1/5 Stars,09-09-21,did not contain folk .,Islamabad
15,Rashid,3/5 Stars,06-09-21,Chicken was rotten,Islamabad
15,Faizan,1/5 Stars,30-08-21,"Disappointing. Supreme Nachos equal dry papri, the grilled salad was chicken bits in band gobhi, no spoons, no sugar for tea, shake was meh...
And they can do it well, I'd nachos and salad yesterday and it was heavens apart from what I got today.",Islamabad
15,Mazhar,4/5 Stars,28-08-21,One complain: I asked for mashed potatoes and they sent me fries again,Islamabad
15,Nadia,1/5 Stars,26-08-21,"food was very bad i ordered chicken and chips and the chicken looked like some old order refried as it was clos3 to been burnt, chios were not fries it was cut into.hug patato fingers with so hard crumb on.it seemed as it was also refried,very bad food",Islamabad
15,Mahnoor,2/5 Stars,17-08-21,"Food wasn’t what I expected, delivery was quite efficient and packaging was good but fries were too oily and sandwich was a mess",Islamabad
15,Fatima,2/5 Stars,13-08-21,Taste was not good,Islamabad
15,Rida,5/5 Stars,12-08-21,Ordered Lasagna. Surprisingly good. Not bad. BUT BRING BACK YOUR MUSHROOM CREAM SOUP!,Islamabad
15,Soha,3/5 Stars,12-08-21,French fries were given instead of wedges without informing. Disappointed!,Islamabad
15,Ali,5/5 Stars,12-08-21,"The club sandwich was delicious! But, it wasn't packaged well it the bread was soggy by the time it got to me.",Islamabad
15,Sehrish,5/5 Stars,10-08-21,"Clean and tasty food, salad was too good",Islamabad
15,Komal,5/5 Stars,07-08-21,Taste and quantity was good,Islamabad
15,Sheikh,1/5 Stars,01-08-21,Bakwas,Islamabad
15,Sidrah,5/5 Stars,01-08-21,"I ordered beef burger and club sandwich. Food was fresh, hot and tasty except potato wedges",Islamabad
